ruc,razon_social,ciiu,ventas_netas,activo_total,pasivo_total,patrimonio,utilidad_neta,coherente
1759537867001,DELICIOUS S.A. 8237,0125,4282514.46,3995984.12,2131642.9890084905,1864341.1309915096,163468.12,TRUE
1761046681001,DELICIOUS S.A. 3933,0125,5575768.07,6973133.49,3794138.1274257163,3178995.362574284,930474.62,TRUE
1784513228001,PACIFIC S.A. 5168,0122,13602077.28,16956720.23,9427978.010219254,7528742.219780747,2252069.86,TRUE
1791512214001,AMAZONIC S.A. 6449,0125,1783529.48,2076366.45,1023612.8887737376,1052753.5612262622,273535.28,TRUE
1737362570001,AGROEXPORT S.A. 7308,0122,12580008,14221462.86,9901540.223499287,4319922.6365007125,554551.71,TRUE
1710408077001,DELICIOUS S.A. 8959,0125,1103172.33,965577.85,589027.6041332405,376550.24586675945,31953.93,TRUE
1735960607001,DELICIOUS S.A. 2369,0125,1951942.94,2663626.5,1590082.9475012915,1073543.5524987085,324408.78,TRUE
1756115829001,FRUTICOLA S.A. 9511,0125,7497025.18,9689814.74,4757085.381469202,4932729.358530798,554892.03,TRUE
1772819906001,PACIFIC S.A. 6957,0125,22762229.35,26042368.2,14975444.140472753,11066924.059527246,2111170.03,TRUE
1744927915001,AGROEXPORT S.A. 3526,0125,3818678.66,5384477.93,2855377.075431987,2529100.8545680125,392811.38,TRUE
1724255793001,FRUTICOLA S.A. 7341,0125,3888061.97,5582089.45,3303828.841694203,2278260.608305797,617546.02,TRUE
1703812668001,AGROEXPORT S.A. 6716,0121,10784349.36,9192794.23,3811943.584592066,5380850.645407935,413173.66,TRUE
1779286415001,ECUAFRUT S.A. 1267,0121,14975607.53,15622271.58,8527855.778270056,7094415.801729944,547655.66,TRUE
1770355569001,PACIFIC S.A. 9467,0121,1810002.51,2468170.45,1115444.8388648902,1352725.61113511,138039.33,TRUE
1712106858001,AMAZONIC S.A. 6071,0121,3068465.25,2548065.39,1688052.4135242563,860012.9764757438,360148.1,TRUE
1799230128001,DELICIOUS S.A. 3287,0125,1000213.74,815341.26,568426.1275492548,246915.1324507452,31981.93,TRUE
1786858691001,ECUAFRUT S.A. 1548,0122,3320249.78,3487531.5,1858097.4654737548,1629434.0345262452,156958.52,TRUE
1735100435001,TROPICAL S.A. 3181,4630,19142921.09,19038287.21,8188475.496529009,10849811.713470992,2838576.23,TRUE
1764592332001,TROPICAL S.A. 3876,0125,4644452.01,6924325.76,4553434.902546902,2370890.8574530976,405373.64,TRUE
1735308687001,FRUTICOLA S.A. 4039,0121,1975343.99,2488642.39,1092255.3749243992,1396387.015075601,111334.35,TRUE
1713980975001,TROPICAL S.A. 2123,0121,11701231.19,16336050.59,6615323.78853435,9720726.80146565,1429648.67,TRUE
1755652240001,AMAZONIC S.A. 8032,0125,5342029.43,7702888.71,4092694.6192105846,3610194.0907894154,426657.81,TRUE
1738862567001,ECUAFRUT S.A. 9513,0125,8797231.83,8314263.91,4840696.7742953645,3473567.1357046356,793413.44,TRUE
1777098533001,DELICIOUS S.A. 5003,0121,6750317.26,7723364.59,4653642.889241168,3069721.7007588316,423987.95,TRUE
1728802801001,AGROEXPORT S.A. 3963,0125,9947352.25,8720857.47,3795162.396740023,4925695.073259978,749335.63,TRUE
1728285699001,AGROEXPORT S.A. 6677,4630,4792746.43,4783728.73,2105184.964653708,2678543.7653462924,295153.29,TRUE
1793820656001,TROPICAL S.A. 3010,0122,4509018.12,3701092.75,1903672.40195805,1797420.34804195,167522.34,TRUE
1794115310001,DELICIOUS S.A. 3315,0122,2825016.88,3143235.95,1508636.0570632988,1634599.8929367014,168406.51,TRUE
1788365391001,TROPICAL S.A. 2606,0122,15358749.66,12564901.84,8696825.473933516,3868076.366066484,1254608.55,TRUE
1766400618001,ECUAFRUT S.A. 6726,0121,6679143.67,5964466.91,2796102.3714426975,3168364.5385573027,806006.49,TRUE
1702655413001,TROPICAL S.A. 7680,0122,8679002.55,6976960.48,4592287.469389655,2384673.0106103458,537644.24,TRUE
1773918478001,DELICIOUS S.A. 3125,0125,1217268.71,1611843.49,1061311.1819760795,550532.3080239205,238409.42,TRUE
1787271947001,FRUTICOLA S.A. 3193,0122,3870960.7,5392797.83,3429707.229801013,1963090.600198987,522286.83,TRUE
1725314603001,DELICIOUS S.A. 1984,4630,7366052.42,10011127.43,4904787.180623112,5106340.249376887,705730.6,TRUE
1784407943001,PACIFIC S.A. 3627,0121,16784423.96,23067712.14,14932156.767747661,8135555.3722523395,1368826.85,TRUE
1768603655001,TROPICAL S.A. 5584,0122,1913871.96,1562536.37,1043647.3890905045,518888.9809094956,145834.13,TRUE
1777164300001,DELICIOUS S.A. 3307,4630,522281.44,461319.97,224659.66510910972,236660.30489089026,60125.7,TRUE
1765662479001,AGROEXPORT S.A. 6786,0121,2957339.56,2880489.13,1910965.69409656,969523.43590344,383087.7,TRUE
1757156326001,AMAZONIC S.A. 7420,4630,8110395.55,9297380.77,4996518.770307898,4300861.999692102,1100018.25,TRUE
1770307502001,AGROEXPORT S.A. 9603,0121,3587808.84,4218562.13,2770237.9129237304,1448324.2170762694,197441.64,TRUE
1765806019001,AGROEXPORT S.A. 7069,4630,1220646.46,1379062.44,569368.5170057113,809693.9229942886,145690.61,TRUE
1757485963001,FRUTICOLA S.A. 6300,0121,2352626.19,3392299.35,2307295.4598342767,1085003.8901657234,305910.16,TRUE
1722260319001,PACIFIC S.A. 8774,4630,15503926.25,22505989.02,14759115.118876211,7746873.901123788,1850183.34,TRUE
1785364136001,ECUAFRUT S.A. 5108,4630,28344356.23,25756431.44,15613286.53025144,10143144.909748562,1974984.65,TRUE
1738200883001,TROPICAL S.A. 6981,0122,3607266.81,3056703.97,1848495.9452955378,1208208.0247044624,431399.8,TRUE
1702406627001,AGROEXPORT S.A. 7430,0125,33663277.23,29750736.69,20325825.840904847,9424910.849095155,2374445,TRUE
1730649165001,FRUTICOLA S.A. 1925,0125,9023186.63,8324071.67,5607732.234944401,2716339.4350555986,638458.02,TRUE
1707642024001,PACIFIC S.A. 2698,0125,10882997.08,13332209.94,6674794.660814467,6657415.279185533,1290974.15,TRUE
1783698262001,PACIFIC S.A. 5290,4630,8491634.61,10698793.16,5846573.951704038,4852219.208295962,783037.57,TRUE
1738401491001,ANDES S.A. 4291,0122,20539434.49,21055542.76,13297931.631310735,7757611.128689267,819149.05,TRUE
1777835773001,TROPICAL S.A. 2992,4630,702130.79,848694.17,376463.4134019226,472230.7565980774,114404.93,TRUE
1743996690001,ECUAFRUT S.A. 8365,0121,365253.61,469445.48,229330.93379605474,240114.54620394524,62389.52,TRUE
1764273577001,TROPICAL S.A. 9015,0121,4849932.21,4033005.06,1802065.4170883496,2230939.6429116502,156718.16,TRUE
1749666738001,FRUTICOLA S.A. 3363,0122,26960316.75,29487300.23,16540594.733665984,12946705.496334016,3747915,TRUE
1741812758001,ANDES S.A. 8881,0121,5295517.66,7797820.22,4890554.914332318,2907265.3056676816,587052.07,TRUE
