ciiu,anio,provincia,ventas,compras,margen_pct
0121,2021,GUAYAS,58876992.24,45169265.357424036,23.28
0121,2021,PICHINCHA,38585153.16,28925562.790950853,25.03
0121,2021,AZUAY,41623052.52,32115781.10033345,22.84
0121,2021,MANABI,40376148.26,28909608.057671253,28.4
0121,2021,LOS RIOS,62642477.37,47310995.43211534,24.47
0121,2022,GUAYAS,40835920.55,31246786.610611387,23.48
0121,2022,PICHINCHA,71973623.66,59345135.81951305,17.55
0121,2022,AZUAY,11100361.82,9099693.041435566,18.02
0121,2022,MANABI,51929094.46,30516903.373972997,41.23
0121,2022,LOS RIOS,45992953.3,35261350.81756675,23.33
0121,2023,GUAYAS,35390008.01,19540192.627895642,44.79
0121,2023,PICHINCHA,76233791.87,57232107.23517232,24.93
0121,2023,AZUAY,52694244.79,31880738.349965088,39.5
0121,2023,MANABI,2883016.71,1962464.4198910557,31.93
0121,2023,LOS RIOS,37981707.13,24827022.955727685,34.63
0121,2024,GUAYAS,68730109.32,50338887.399512194,26.76
0121,2024,PICHINCHA,29839761.89,24978846.91528988,16.29
0121,2024,AZUAY,29880421.06,17636583.33334775,40.98
0121,2024,MANABI,60937901.9,39742969.3923832,34.78
0121,2024,LOS RIOS,9498768.74,7277541.29936267,23.38
0122,2021,GUAYAS,28346995.75,19531944.784174252,31.1
0122,2021,PICHINCHA,65357769.9,53942445.4056658,17.47
0122,2021,AZUAY,4130377.22,2553831.0436157305,38.17
0122,2021,MANABI,57510036.78,48197961.69783552,16.19
0122,2021,LOS RIOS,27614370.8,16891366.87332017,38.83
0122,2022,GUAYAS,73553779.86,55451974.916121684,24.61
0122,2022,PICHINCHA,62449148.17,34539087.636902586,44.69
0122,2022,AZUAY,16733324.37,10891165.304171994,34.91
0122,2022,MANABI,68689160.48,43882947.77492087,36.11
0122,2022,LOS RIOS,21509423.75,16585707.408930399,22.89
0122,2023,GUAYAS,34433339.42,27622871.699783128,19.78
0122,2023,PICHINCHA,12343552.76,10041434.618622541,18.65
0122,2023,AZUAY,38857256.23,24784732.8509715,36.22
0122,2023,MANABI,44101211.67,35558218.10897544,19.37
0122,2023,LOS RIOS,53290581.71,44248771.65948204,16.97
0122,2024,GUAYAS,10009267.15,6718449.354930807,32.88
0122,2024,PICHINCHA,8476800.2,5243292.060891848,38.15
0122,2024,AZUAY,14959397.26,8281791.63242161,44.64
0122,2024,MANABI,79401980.16,49679736.920795836,37.43
0122,2024,LOS RIOS,72519687.64,58098298.51814507,19.89
0123,2021,GUAYAS,32868160.87,19370850.89879077,41.06
0123,2021,PICHINCHA,74506858.6,48607884.31716574,34.76
0123,2021,AZUAY,61708358.63,51141881.25044648,17.12
0123,2021,MANABI,65360073.77,40882903.53510428,37.45
0123,2021,LOS RIOS,79828813.31,57827533.694391914,27.56
0123,2022,GUAYAS,65246410.63,53627313.700465865,17.81
0123,2022,PICHINCHA,60175505.32,35701344.89389954,40.67
0123,2022,AZUAY,11354942.06,6718341.127649612,40.83
0123,2022,MANABI,36856994.73,25795596.168820076,30.01
0123,2022,LOS RIOS,43722509.27,31019088.739735797,29.05
0123,2023,GUAYAS,8628950.65,6015020.496365793,30.29
0123,2023,PICHINCHA,59144198.82,42275302.77858304,28.52
0123,2023,AZUAY,15169576.35,12456861.267830918,17.88
0123,2023,MANABI,11396238.13,8868157.716085365,22.18
0123,2023,LOS RIOS,42097704.56,25181776.435404915,40.18
0123,2024,GUAYAS,29317468.49,21782772.094345175,25.7
0123,2024,PICHINCHA,28801947.91,17112835.54524921,40.58
0123,2024,AZUAY,47620965.97,27640583.34426477,41.96
0123,2024,MANABI,61438545.51,49336860.6128805,19.7
0123,2024,LOS RIOS,48461489.16,32613299.598044597,32.7
0124,2021,GUAYAS,13047731.55,10051140.729717098,22.97
0124,2021,PICHINCHA,59621176.84,48746144.42703725,18.24
0124,2021,AZUAY,77283240.53,46743534.62630472,39.52
0124,2021,MANABI,18175529.7,14935887.290997101,17.82
0124,2021,LOS RIOS,9055469.79,7580130.2827651445,16.29
0124,2022,GUAYAS,61656825.59,47620976.18937694,22.76
0124,2022,PICHINCHA,58038597.89,41252923.8957154,28.92
0124,2022,AZUAY,27287667.56,22813878.354115427,16.39
0124,2022,MANABI,21773662.2,14165121.520463042,34.94
0124,2022,LOS RIOS,15678408.87,9707503.21146777,38.08
0124,2023,GUAYAS,9120377.2,5416346.429565449,40.61
0124,2023,PICHINCHA,79662304.41,64885886.21325622,18.55
0124,2023,AZUAY,49324192.05,27618014.316560917,44.01
0124,2023,MANABI,34990886.06,25354709.582763746,27.54
0124,2023,LOS RIOS,6466952.39,3687353.9565879884,42.98
0124,2024,GUAYAS,40173351.4,33071713.733669613,17.68
0124,2024,PICHINCHA,65707632.79,40190667.89587702,38.83
0124,2024,AZUAY,48836635.04,26927414.77052686,44.86
0124,2024,MANABI,66913061.64,48561188.22565589,27.43
0124,2024,LOS RIOS,47579139.96,29045463.854806364,38.95
0125,2021,GUAYAS,71982567.3,55895258.38566393,22.35
0125,2021,PICHINCHA,18244899.74,10241493.718856083,43.87
0125,2021,AZUAY,74325127.72,49785917.60887752,33.02
0125,2021,MANABI,7768541.79,4693050.060173028,39.59
0125,2021,LOS RIOS,22375217.63,18021293.900044084,19.46
0125,2022,GUAYAS,28560679.26,23363175.13021622,18.2
0125,2022,PICHINCHA,29378121.86,21390292.221886713,27.19
0125,2022,AZUAY,16248893.49,11218009.857012603,30.96
0125,2022,MANABI,5985959.56,3457876.5305869463,42.23
0125,2022,LOS RIOS,41952832.83,31069016.465260226,25.94
0125,2023,GUAYAS,69844411.55,48253193.600785464,30.91
0125,2023,PICHINCHA,75783545.55,62745844.79334274,17.2
0125,2023,AZUAY,27046373.18,15715879.274081137,41.89
0125,2023,MANABI,72610822.02,58272270.19078468,19.75
0125,2023,LOS RIOS,44573275.08,36995107.35448402,17
0125,2024,GUAYAS,53474454.66,44183871.2892948,17.37
0125,2024,PICHINCHA,64846726.89,47954246.545857266,26.05
0125,2024,AZUAY,63592361.39,38852330.39081459,38.9
0125,2024,MANABI,55778704.4,45563866.25968395,18.31
0125,2024,LOS RIOS,22345769.39,16721742.336052695,25.17
0126,2021,GUAYAS,51926647.5,30357858.418289594,41.54
0126,2021,PICHINCHA,77077349.99,49989402.75842494,35.14
0126,2021,AZUAY,9668017.3,6282239.883445034,35.02
0126,2021,MANABI,64887708.94,45840284.170761146,29.35
0126,2021,LOS RIOS,35410431.03,23485733.202709224,33.68
0126,2022,GUAYAS,64533720.29,39593609.32654446,38.65
0126,2022,PICHINCHA,69075740.29,38580858.09438255,44.15
0126,2022,AZUAY,35268427.74,25345554.42493687,28.14
0126,2022,MANABI,51581944.06,35248713.510758795,31.66
0126,2022,LOS RIOS,74463853.88,41438812.32827946,44.35
0126,2023,GUAYAS,68707521.93,55872435.095340945,18.68
0126,2023,PICHINCHA,11769737.29,6598782.474222733,43.93
0126,2023,AZUAY,59074643.82,33685073.25998107,42.98
0126,2023,MANABI,64781064.86,54982375.89302165,15.13
0126,2023,LOS RIOS,17023043.99,11821041.971806537,30.56
0126,2024,GUAYAS,10493059.44,8805884.176305102,16.08
0126,2024,PICHINCHA,20303464.39,13681050.67233159,32.62
0126,2024,AZUAY,57543515.28,31997132.27225016,44.39
0126,2024,MANABI,39088857.45,25787049.917917043,34.03
0126,2024,LOS RIOS,14129141.07,10094277.567870354,28.56
