area,ciudad,conglomerado,panelm,vivienda,hogar,p01,p02,p03,p04,p05a,p05b,sexo,p07,edad,p081,p085,p09,p10a,p10b,p11,p12a,p12b,p15,p15aa,p15ab,cod_inf,p20,p21,p22,p23,p232,p233,p24,p25,p26,p27,p28,p29,p29a,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p421,p422,p42a,p43,p44a,p44b,p44c,p44d,p44e,p44f,p44g,p44h,p44i,p44j,p44k,p45,p46,p47a,p47b,p48,p49,p50,p51a,p51b,p51c,p52,p53,p54,p54a,p55,p56a,p56b,p57,p58,p61b1,p63,p64a,p64b,p65,p66,p67,p68a,p68b,p69,p70a,p70b,p71a,p71b,p72a,p72b,p73a,p73b,p74a,p74b,p75,p76,p77,p78,sd01,sd021,sd022,sd023,sd024,sd025,sd026,sd027,sd028,sd029,sd0210,sd0211,sd03,sp01,ced01a,estrato,peso_expansion,nivel_instruccion,ingreso_laboral,ingpc,pobreza,epobreza,condact,empleo,desempleo,sector,grupo1,rama1,upm,id_vivienda,id_hogar,id_persona,periodo,rural,ocupado,desempleado,pea,agricola,subempleo_ingreso,informal
2.0,10151.0,903202,058,01,1,01,1.0,73.0,1.0,10.0,10.0,4.0,2.0,,,,5.0,4.0,4.0,1.0,,,5.0,1.0,,1.0,1.0,,,,,,50.0,,1.0,4.0,,,6.0,,,,,,,,,,,4100.0,7112.0,4.0,,,,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,45.0,2.0,1.0,4.0,3.0,2.0,2.0,40.0,10.0,0.0,141.0,6320.0,6.0,2.0,10.0,1.0,1.0,3.0,2.0,5.0,,,,,800.0,0.0,2.0,,0.0,1.0,20.0,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,5.0,1,0122,844.4972295763538,3.0,820.0,820.0,0.0,0.0,1.0,1.0,,2.0,7.0,6.0,010151903202,01015190320205801,010151903202058011,01015190320205801101,202512.0,True,True,False,True,False,False,True
2.0,10151.0,903202,058,02,1,01,2.0,81.0,1.0,10.0,10.0,4.0,2.0,,,,1.0,4.0,4.0,1.0,,,6.0,1.0,,1.0,1.0,,,,,,30.0,1.0,,4.0,,,3.0,,,,,,,,,,,4781.0,5211.0,6.0,2.0,,2.0,,,,,,,,,,,,,4.0,9.0,1.0,1.0,3.0,1.0,1.0,30.0,,,,,,,,,,,,5.0,400.0,1.0,80.0,250.0,,,,,,,,2.0,,2.0,,1.0,150.0,1.0,100.0,2.0,,2.0,,,,,,,,,,,,,,,8.0,1,0122,844.4972295763538,3.0,230.0,262.0,0.0,0.0,4.0,1.0,,1.0,5.0,7.0,010151903202,01015190320205802,010151903202058021,01015190320205802101,202512.0,True,True,False,True,False,True,False
2.0,10151.0,903202,058,03,1,01,2.0,65.0,1.0,10.0,10.0,4.0,2.0,,,,1.0,4.0,1.0,1.0,,,6.0,1.0,,1.0,2.0,8.0,,,,,15.0,9.0,,,,,6.0,,,,,,,,,,,146.0,6122.0,6.0,1.0,2.0,2.0,,,,,,,,,,,,,50.0,9.0,1.0,1.0,3.0,2.0,1.0,15.0,,,,,,,,,,,,5.0,200.0,1.0,75.0,50.0,,,,,,,,2.0,,2.0,,1.0,50.0,2.0,,1.0,55.0,2.0,,,,,,,,,,,,,,,2.0,1,0122,844.4972295763538,3.0,225.0,343.3333333333333,0.0,0.0,4.0,1.0,,2.0,6.0,1.0,010151903202,01015190320205803,010151903202058031,01015190320205803101,202512.0,True,True,False,True,True,True,True
2.0,10151.0,903202,058,03,1,02,1.0,25.0,3.0,10.0,10.0,6.0,2.0,,,,5.0,5.0,6.0,1.0,,,6.0,1.0,,1.0,1.0,,,,,,40.0,,1.0,4.0,,,6.0,,,,,,,,,,,2511.0,7222.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,6.0,3.0,2.0,1.0,40.0,,,,,,,,,,,,5.0,,,,,400.0,0.0,2.0,,,,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,3.0,1,0122,844.4972295763538,3.0,400.0,343.3333333333333,0.0,0.0,4.0,1.0,,2.0,7.0,3.0,010151903202,01015190320205803,010151903202058031,01015190320205803102,202512.0,True,True,False,True,False,True,True
2.0,10151.0,903202,058,03,1,03,2.0,21.0,3.0,10.0,10.0,6.0,2.0,,,,5.0,7.0,3.0,,,,6.0,1.0,,1.0,1.0,,,,,,20.0,9.0,,,,,5.0,,,,,,,,,,,4922.0,4222.0,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,20.0,,,,,,,,,,,,5.0,,,,,300.0,0.0,2.0,,,,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,2.0,1,0122,844.4972295763538,4.0,300.0,343.3333333333333,0.0,0.0,4.0,1.0,,2.0,4.0,8.0,010151903202,01015190320205803,010151903202058031,01015190320205803103,202512.0,True,True,False,True,False,True,True
2.0,10151.0,903202,058,04,1,01,2.0,31.0,1.0,10.0,10.0,6.0,2.0,,,,2.0,10.0,2.0,,1.0,50320103.0,6.0,1.0,,2.0,1.0,,,,,,35.0,1.0,,2.0,1.0,10.0,,7.0,,,,,,,,,,150.0,6130.0,6.0,1.0,2.0,2.0,,,,,,,,,,,,,15.0,10.0,1.0,2.0,3.0,2.0,1.0,35.0,,,,,,,,,,,,5.0,250.0,1.0,95.0,30.0,,,,,,,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,4.0,1,0122,844.4972295763538,5.0,315.0,146.0,0.0,0.0,2.0,1.0,,2.0,6.0,1.0,010151903202,01015190320205804,010151903202058041,01015190320205804101,202512.0,True,True,False,True,True,True,True
2.0,10151.0,903202,058,04,1,02,2.0,25.0,7.0,10.0,10.0,6.0,2.0,,,,15.0,7.0,3.0,,,,6.0,1.0,,2.0,1.0,,,,,,20.0,1.0,,4.0,,,1.0,,,,,,,,,,,150.0,9213.0,7.0,,,,,,,,,,,,,,,,10.0,10.0,1.0,2.0,3.0,2.0,1.0,20.0,,,,,,,,,,,,5.0,,,,,,,,,,,,2.0,,1.0,115.0,2.0,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,6.0,1,0122,844.4972295763538,4.0,,146.0,0.0,0.0,5.0,1.0,,2.0,9.0,1.0,010151903202,01015190320205804,010151903202058041,01015190320205804102,202512.0,True,True,False,True,True,True,True
2.0,10151.0,903202,058,05,1,01,2.0,63.0,1.0,10.0,10.0,1.0,2.0,,,,1.0,4.0,3.0,1.0,,,6.0,1.0,,1.0,2.0,8.0,,,,,20.0,9.0,,,,,5.0,,,,,,,,,,,150.0,6330.0,6.0,1.0,4.0,2.0,,,,,,,,,,,,,30.0,10.0,1.0,2.0,3.0,2.0,1.0,20.0,,,,,,,,,,,,5.0,40.0,1.0,48.0,10.0,,,,,,,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,9.0,1,0122,844.4972295763538,3.0,78.0,202.66666666666666,0.0,0.0,4.0,1.0,,2.0,6.0,1.0,010151903202,01015190320205805,010151903202058051,01015190320205805101,202512.0,True,True,False,True,True,True,True
2.0,10151.0,903202,058,05,1,02,1.0,63.0,2.0,10.0,10.0,1.0,2.0,,,,1.0,4.0,6.0,1.0,,,6.0,1.0,,1.0,2.0,8.0,,,,,20.0,9.0,,,,,5.0,,,,,,,,,,,150.0,9213.0,7.0,,,,,,,,,,,,,,,,15.0,10.0,1.0,2.0,3.0,2.0,1.0,20.0,,,,,,,,,,,,5.0,,,,,,,,,,,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,7.0,3,0122,844.4972295763538,3.0,,202.66666666666666,0.0,0.0,5.0,1.0,,2.0,9.0,1.0,010151903202,01015190320205805,010151903202058051,01015190320205805102,202512.0,True,True,False,True,True,True,True
2.0,10151.0,903202,058,05,1,03,2.0,23.0,3.0,1.0,10.0,6.0,2.0,,,,2.0,9.0,4.0,,1.0,30110201.0,6.0,1.0,,1.0,1.0,,,,,,40.0,,1.0,4.0,,,6.0,,,,,,,,,,,5610.0,9412.0,2.0,,,,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,40.0,,,,,,,,,,,,1.0,,,,,425.0,45.0,1.0,60.0,,,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,9.0,1,0122,844.4972295763538,5.0,530.0,202.66666666666666,0.0,0.0,1.0,1.0,,1.0,9.0,9.0,010151903202,01015190320205805,010151903202058051,01015190320205805103,202512.0,True,True,False,True,False,False,False
