,coef,err_rob,p_valor
const,2.1462815044869767,0.011495836932642976,0.0
agricola_int,1.4695582865017565,0.0034304230633490054,0.0
mujer,-0.04921579654495415,0.007405502472426401,3.0148931705139655e-11
edad_c,1.993176497301476,0.023142283026861155,0.0
edad2,-0.3769455692650278,0.004962525351177237,0.0
agro_x_mujer,-0.4162774876370441,0.011090155966995972,2.405094950097995e-308
educ_2.0,-0.8597169981394377,0.03169301739327592,4.810231772226815e-162
educ_3.0,-1.439165167043487,0.011190082780980484,0.0
educ_4.0,-1.5059392131490872,0.011291559875590416,0.0
educ_5.0,-2.4488416866202343,0.012021073129533611,0.0
