ruc_norm,razon_social,ciiu_norm,actividad,segmento,foco_alto_valor,provincia,cant_empleados,activo_total,patrimonio,pasivo_total,ventas_netas,utilidad_operativa,utilidad_neta,anio
3215,NIRSA S.A.,G4630,"G4630.33 - VENTA AL POR MAYOR DE PESCADO, CRUSTÁCEOS, MOLUSCOS Y PRODUCTOS DE LA PESCA.",comercio_mayorista,FALSE,GUAYAS,7056,511293948.67,144757836.15,366536112.52,553504744.91,29706353.69,21307724.46,2024
128168,DINADEC S.A.,G4630,"G4630.95 - VENTA AL POR MAYOR DE BEBIDAS ALCOHÓLICAS, INCLUSO EL ENVASADO DE VINO A GRANEL SIN TRANSFORMACIÓN.",comercio_mayorista,FALSE,GUAYAS,1200,421490859.07,69739055.08,351751803.99,1096000383.66,0,37749884.15,2024
9134,REYBANPAC REY BANANO DEL PACIFICO C.L.,A0122,A0122.01 - CULTIVO DE BANANOS Y PLÁTANOS.,cultivo_fruticola,FALSE,GUAYAS,6117,417028570.46,315494464.12,101534106.33999997,297974689.27,17786001.82,13488526.57,2024
166413,BEBIDAS ARCACONTINENTAL ECUADOR ARCADOR S.A.,G4630,"G4630.94 - VENTA AL POR MAYOR DE BEBIDAS NO ALCOHÓLICAS (JUGOS, GASEOSAS, AGUA MINERAL, ETCÉTERA).",comercio_mayorista,FALSE,PICHINCHA,1231,202551678.89,125075962.65,77475716.23999998,260100991.01,0,15317671.83,2024
48145,CORPORACION SUPERIOR CORSUPERIOR S.A.,G4630,G4630.93 - VENTA AL POR MAYOR DE PRODUCTOS DE PANADERÍA Y REPOSTERÍA.,comercio_mayorista,FALSE,PICHINCHA,1536,179082016.87,99139104.91,79942911.96000001,200150169.37,0,23583849.93,2024
872,MODERNA ALIMENTOS S.A.,G4630,"G4630.95 - VENTA AL POR MAYOR DE BEBIDAS ALCOHÓLICAS, INCLUSO EL ENVASADO DE VINO A GRANEL SIN TRANSFORMACIÓN.",comercio_mayorista,FALSE,PICHINCHA,790,126202409.64,55045281.91,71157127.73,182762143.92,12280233.31,8304059.18,2024
71761,SEMVRA-VECONSA S.A.,C1030,"C1030.12 - CONSERVACIÓN DE FRUTAS, PULPA DE FRUTAS, LEGUMBRES Y HORTALIZAS MEDIANTE EL CONGELADO, SECADO, DESHIDRATADO, INMERSIÓN EN ACEITE O VINAGRE, ENLATADO, ETCÉTERA.",procesamiento,FALSE,GUAYAS,924,110538746.57,26659474.9,83879271.66999999,73990712.71,512974.07,401281.75,2024
716718,ECUADOR KAKAO PROCESSING PROECUAKAO S.A.,C1073,"C1073.11 - ELABORACIÓN DE CACAO, MANTECA, GRASA Y ACEITE DE CACAO.",procesamiento,FALSE,GUAYAS,208,108935737.55,14613604.42,94322133.13,219972680.18,-15178470.09,-12126973.12,2024
7293,PALMERAS DEL ECUADOR SA,A0125,"A0125.04 - CULTIVOS DE NUECES COMESTIBLES: ALMENDRAS, ANACARDOS, CASTAÑAS, AVELLANAS, PISTACHOS, NUECES DE NOGAL Y OTRAS NUECES.",cultivo_fruticola,FALSE,PICHINCHA,1662,104727369.91,74853975,29873394.909999996,65177434.87,12998544.9,6006048.85,2024
120585,UNIVERSAL SWEET INDUSTRIES S.A.,C1030,"C1030.14 - FABRICACIÓN DE PRODUCTOS ALIMENTICIOS A PARTIR DE (UN SOLO COMPONENTE) FRUTAS, LEGUMBRES Y HORTALIZAS; INCLUSO SNACKS DE PLÁTANO (CHIFLES), YUCA, FRUTAS, ETCÉTERA, EXCEPTO PAPA.",procesamiento,FALSE,GUAYAS,398,103777539.03,33622847.01,70154692.02000001,58383035.44,62548.88,-732566.03,2024
4886,COMPANIA AGRICOLA LA JULIA S. A. ( CALAJUSA ),A0122,A0122.01 - CULTIVO DE BANANOS Y PLÁTANOS.,cultivo_fruticola,FALSE,GUAYAS,1974,101149790.94,6267510.44,94882280.5,31375130.16,0,-2266123.04,2024
95597,ENERGY & PALMA ENERGYPALMA S.A.,A0126,A0126.01 - CULTIVO DE PALMAS DE ACEITE (PALMA AFRICANA).,cultivo_fruticola,FALSE,MANABI,1505,98069276.15,51258720.22,46810555.93000001,48555912.16,1266320.51,657245.31,2024
105773,EXPORTQUILSA & PRODUCTORES ASOCIADOS S.A.,G4630,"G4630.33 - VENTA AL POR MAYOR DE PESCADO, CRUSTÁCEOS, MOLUSCOS Y PRODUCTOS DE LA PESCA.",comercio_mayorista,FALSE,GUAYAS,2009,97624906.15,21187519.42,76437386.73,218452047.3,3576282.78,3077249.78,2024
156811,MEGA SANTAMARIA S.A.,G4630,"G4630.95 - VENTA AL POR MAYOR DE BEBIDAS ALCOHÓLICAS, INCLUSO EL ENVASADO DE VINO A GRANEL SIN TRANSFORMACIÓN.",comercio_mayorista,FALSE,PICHINCHA,1450,94382669.67,52097025.04,42285644.63,237964565.18,4367660.84,2823643.67,2024
3311,UNION DE BANANEROS ECUATORIANOS SA UBESA,G4630,G4630.11 - VENTA AL POR MAYOR DE BANANO Y PLÁTANO.,comercio_mayorista,FALSE,GUAYAS,77,92957924.99,44047715.31,48910209.67999999,514066137.2,17024730.7,12928347.98,2024
183115,CARGILL DEL ECUADOR CARGILLECUADOR CIA.LTDA.,G4630,"G4630.14 - VENTA AL POR MAYOR DE CAFÉ, CACAO, TE Y ESPECIAS.",comercio_mayorista,FALSE,GUAYAS,69,87947366,3658220,84289146,215581550,-5016274,-4606798,2024
147900,RUFORCORP S.A.,G4620,G4620.12 - VENTA AL POR MAYOR DE FRUTOS Y SEMILLAS OLEAGINOSAS.,comercio_mayorista,FALSE,LOS RIOS,1323,83671987.9,18240004.43,65431983.470000006,22034936.83,85651.72,-165973.16,2024
102796,AJECUADOR S.A.,G4630,"G4630.94 - VENTA AL POR MAYOR DE BEBIDAS NO ALCOHÓLICAS (JUGOS, GASEOSAS, AGUA MINERAL, ETCÉTERA).",comercio_mayorista,FALSE,GUAYAS,995,79479459.59,27254126.86,52225332.730000004,176763594.69,11414134.55,8627189.81,2024
133367,HAUTES S.A.,G4630,"G4630.33 - VENTA AL POR MAYOR DE PESCADO, CRUSTÁCEOS, MOLUSCOS Y PRODUCTOS DE LA PESCA.",comercio_mayorista,FALSE,GUAYAS,4,79323080.67,65944560.4,13378520.270000003,1865312.22,0,-192219.67,2024
43044,DISTRIBUIDORA IMPORTADORA DIPOR S.A.,G4630,G4630.99 - VENTA AL POR MAYOR DE OTROS PRODUCTOS COMESTIBLES (ENLATADOS Y CONSERVAS).,comercio_mayorista,FALSE,GUAYAS,2329,79291475.29,11706211.31,67585263.98,310180657.27,-3796508.1,-3239107.05,2024
46427,PROVEFRUT S.A.,C1030,"C1030.12 - CONSERVACIÓN DE FRUTAS, PULPA DE FRUTAS, LEGUMBRES Y HORTALIZAS MEDIANTE EL CONGELADO, SECADO, DESHIDRATADO, INMERSIÓN EN ACEITE O VINAGRE, ENLATADO, ETCÉTERA.",procesamiento,FALSE,COTOPAXI,947,78920587.46,57848857.92,21071729.53999999,114346523.31,7847504.89,6441719.12,2024
101314,ORODELTI S.A.,A0122,A0122.01 - CULTIVO DE BANANOS Y PLÁTANOS.,cultivo_fruticola,FALSE,GUAYAS,3165,76905379.41,32684044.25,44221335.16,98607771.1,6322392.91,5310031.98,2024
1849,FERRERO DEL ECUADOR S.A.,C1073,"C1073.21 - ELABORACIÓN DE PRODUCTOS DE CONFITERÍA: CARAMELOS, TURRÓN, GRAGEAS Y PASTILLAS DE CONFITERÍA, GOMA DE MASCAR (CHICLES), CONFITES BLANDOS, CONFITERÍA A BASE DE CHOCOLATE Y CHOCOLATE BLANCO, ETCÉTERA.",procesamiento,FALSE,PICHINCHA,326,73970295.22,55237363.32,18732931.9,72194338.39,9885418.82,6293880.55,2024
147750,ACQUASPLENDOR S.A.,G4630,"G4630.94 - VENTA AL POR MAYOR DE BEBIDAS NO ALCOHÓLICAS (JUGOS, GASEOSAS, AGUA MINERAL, ETCÉTERA).",comercio_mayorista,FALSE,PICHINCHA,159,67707187,-15307051,83014238,10888190,0,-3698467,2024
145255,SABROSTAR FRUIT COMPANY S.A.,G4630,G4630.11 - VENTA AL POR MAYOR DE BANANO Y PLÁTANO.,comercio_mayorista,FALSE,GUAYAS,128,67512376.73,8572728.43,58939648.300000004,79934654.23,2211194.86,1234368.14,2024
12489,PEPSICO ALIMENTOS ECUADOR CIA. LTDA.,G4630,G4630.99 - VENTA AL POR MAYOR DE OTROS PRODUCTOS COMESTIBLES (ENLATADOS Y CONSERVAS).,comercio_mayorista,FALSE,PICHINCHA,475,65836661.35,44331015.51,21505645.840000004,70203480.8,6774562.47,4144574.05,2024
148781,AGROINDUSTRIAS ARRIBA DEL ECUADOR AGROARRIBA S.A.,G4630,"G4630.14 - VENTA AL POR MAYOR DE CAFÉ, CACAO, TE Y ESPECIAS.",comercio_mayorista,FALSE,GUAYAS,84,59929665,14165813,45763852,335689733,16532552,12874236,2024
