anio,eslabon,provincia,ventas,compras,exportaciones,margen_valor_agregado_pct,intensidad_export_pct
2023,A_cultivo,AZUAY,121201272.17,78444894.73,20095050.94,35.28,16.58
2023,A_cultivo,BOLIVAR,37666384.02,25264214.95,3221783.58,32.93,8.55
2023,A_cultivo,CARCHI,107242302.15,72697618.29,25080985.2,32.21,23.39
2023,A_cultivo,CAÑAR,106698110.19,61390360.44,244636.65,42.46,0.23
2023,A_cultivo,CHIMBORAZO,91181385.71,73361509.9,196077.91,19.54,0.22
2023,A_cultivo,COTOPAXI,647525233.39,460791957.38,267835174.47,28.84,41.36
2023,A_cultivo,EL ORO,1882606266.86,1460598879,35912982.96,22.42,1.91
2023,A_cultivo,ESMERALDAS,281199559.03999996,174579908.28,8907844.86,37.92,3.17
2023,A_cultivo,GALAPAGOS,9628612.07,7188834.28,0,25.34,0
2023,A_cultivo,GUAYAS,9630341340.18,7945891757.69,4159798193.57,17.49,43.19
2023,A_cultivo,IMBABURA,182313250.41,114866971.28,62305637.1,36.99,34.18
2023,A_cultivo,LOJA,107289868.58,76585101.11,343011.5,28.62,0.32
2023,A_cultivo,LOS RIOS,1255836163.96,914422118.46,94440469.82,27.19,7.52
2023,A_cultivo,MANABI,1430183835.19,1108457243.89,236322596.85,22.5,16.52
2023,A_cultivo,MORONA SANTIAGO,37057637.8,29159291.27,5054029.82,21.31,13.64
2023,A_cultivo,NAPO,21274226.17,15108869.35,0,28.98,0
2023,A_cultivo,ORELLANA,58938029.18,30370370.14,1.07,48.47,0
2023,A_cultivo,PASTAZA,14690041.33,13925217.799999999,818667.37,5.21,5.57
2023,A_cultivo,PICHINCHA,2371231077.12,1535211950.64,1126617336.94,35.26,47.51
2023,A_cultivo,SANTA ELENA,287148569.18,220548522.79,11885640.78,23.19,4.14
2023,A_cultivo,SANTO DOMINGO DE LOS TSACHILAS,563997682.9,426364241.41,42672214.08,24.4,7.57
2023,A_cultivo,SUCUMBIOS,61863967.76,38804419.15,0.01,37.27,0
2023,A_cultivo,TUNGURAHUA,437612586.19,370357130.55,10580225.94,15.37,2.42
2023,A_cultivo,ZAMORA CHINCHIPE,15766069.93,10490137.32,1184910,33.46,7.52
2023,C_procesamiento,AZUAY,2067246515.3500001,1588796601.5,150199743.9,23.14,7.27
2023,C_procesamiento,BOLIVAR,13925256.290000001,11818053.35,0,15.13,0
2023,C_procesamiento,CARCHI,31636100.83,26092960.77,320375.92,17.52,1.01
2023,C_procesamiento,CAÑAR,163512949.98,113763238.28,3722784.88,30.43,2.28
2023,C_procesamiento,CHIMBORAZO,152249968.08,132184672.95,473956.98,13.18,0.31
2023,C_procesamiento,COTOPAXI,229573263.84,192111300.95,731112.17,16.32,0.32
2023,C_procesamiento,EL ORO,291434374.97,246822420.26,50680892.55,15.31,17.39
2023,C_procesamiento,ESMERALDAS,91272990.25,79761223.55,17813936.56,12.61,19.52
2023,C_procesamiento,GALAPAGOS,11684224.23,8243010.600000001,478.45,29.45,0
2023,C_procesamiento,GUAYAS,15121344845.32,11782595726.63,3052226907.84,22.08,20.18
2023,C_procesamiento,IMBABURA,297859742.23,226923357.25,6337259.08,23.82,2.13
2023,C_procesamiento,LOJA,146281729.72,111446934.83,2123084.53,23.81,1.45
2023,C_procesamiento,LOS RIOS,340280943.84,290180084.93,13627776.07,14.72,4
