ruc_norm,razon_social,ciiu_norm,actividad,segmento,foco_alto_valor,provincia,cant_empleados,activo_total,patrimonio,pasivo_total,ventas_netas,utilidad_operativa,utilidad_neta,anio,ROE_pct,ROA_pct,margen_neto_pct,margen_operativo_pct,activo_corriente,pasivo_corriente,razon_corriente,prueba_acida,endeudamiento_pct,rotacion_activos
3215,NIRSA S.A.,G4630,"G4630.33 - VENTA AL POR MAYOR DE PESCADO, CRUSTÁCEOS, MOLUSCOS Y PRODUCTOS DE LA PESCA.",comercio_mayorista,False,GUAYAS,7056,511293948.67,144757836.15,366536112.52,553504744.91,29706353.69,21307724.46,2024,14.719565466508252,4.167411821600193,3.849601047858161,5.366955561479471,281211671.76850003,164941250.634,1.70492021060578,1.022952126363468,71.68794261568118,1.0825568077811218
128168,DINADEC S.A.,G4630,"G4630.95 - VENTA AL POR MAYOR DE BEBIDAS ALCOHÓLICAS, INCLUSO EL ENVASADO DE VINO A GRANEL SIN TRANSFORMACIÓN.",comercio_mayorista,False,GUAYAS,1200,421490859.07,69739055.08,351751803.99,1096000383.66,0.0,37749884.15,2024,54.13019162174745,8.956275880642671,3.444331289733446,0.0,231819972.48850003,158288311.7955,1.464542579669426,0.8787255478016557,83.45419513156799,2.6002945498706045
9134,REYBANPAC REY BANANO DEL PACIFICO C.L.,A0122,A0122.01 - CULTIVO DE BANANOS Y PLÁTANOS.,cultivo_fruticola,False,GUAYAS,6117,417028570.46,315494464.12,101534106.33999996,297974689.27,17786001.82,13488526.57,2024,4.275360776178173,3.2344370447141286,4.52673567780041,5.968963962534348,229365713.75300002,45690347.852999985,5.020003666659327,3.012002199995596,24.34703843624037,0.714518645428349
166413,BEBIDAS ARCACONTINENTAL ECUADOR ARCADOR S.A.,G4630,"G4630.94 - VENTA AL POR MAYOR DE BEBIDAS NO ALCOHÓLICAS (JUGOS, GASEOSAS, AGUA MINERAL, ETCÉTERA).",comercio_mayorista,False,PICHINCHA,1231,202551678.89,125075962.65,77475716.23999998,260100991.01,0.0,15317671.83,2024,12.24669513267184,7.562352439605593,5.889124747475909,0.0,111403423.3895,34864072.30799999,3.195364626522333,1.9172187759133998,38.249851427829846,1.2841216248385352
48145,CORPORACION SUPERIOR CORSUPERIOR S.A.,G4630,G4630.93 - VENTA AL POR MAYOR DE PRODUCTOS DE PANADERÍA Y REPOSTERÍA.,comercio_mayorista,False,PICHINCHA,1536,179082016.87,99139104.91,79942911.96000001,200150169.37,0.0,23583849.93,2024,23.78864520857817,13.169301051104473,11.783077678241986,0.0,98495109.2785,35974310.38200001,2.7379290452717813,1.6427574271630687,44.64039067531416,1.1176452715254703
872,MODERNA ALIMENTOS S.A.,G4630,"G4630.95 - VENTA AL POR MAYOR DE BEBIDAS ALCOHÓLICAS, INCLUSO EL ENVASADO DE VINO A GRANEL SIN TRANSFORMACIÓN.",comercio_mayorista,False,PICHINCHA,790,126202409.64,55045281.91,71157127.73,182762143.92,12280233.31,8304059.18,2024,15.085869109685518,6.579952953107496,4.543642902129073,6.719243409278125,69411325.302,32020707.4785,2.1677011773898367,1.300620706433902,56.38333525721102,1.4481668332747373
71761,SEMVRA-VECONSA S.A.,C1030,"C1030.12 - CONSERVACIÓN DE FRUTAS, PULPA DE FRUTAS, LEGUMBRES Y HORTALIZAS MEDIANTE EL CONGELADO, SECADO, DESHIDRATADO, INMERSIÓN EN ACEITE O VINAGRE, ENLATADO, ETCÉTERA.",procesamiento,False,GUAYAS,924,110538746.57,26659474.9,83879271.66999999,73990712.71,512974.07,401281.75,2024,1.5052125051420275,0.3630236115857199,0.5423407010185022,0.6932952139690236,60796310.6135,37745672.251499996,1.610682946866418,0.9664097681198507,75.88223520960808,0.6693644989283869
716718,ECUADOR KAKAO PROCESSING PROECUAKAO S.A.,C1073,"C1073.11 - ELABORACIÓN DE CACAO, MANTECA, GRASA Y ACEITE DE CACAO.",procesamiento,False,GUAYAS,208,108935737.55,14613604.42,94322133.13,219972680.18,-15178470.09,-12126973.12,2024,-82.9841343139354,-11.132226570214284,-5.512945112127878,-6.900161455313318,59914655.6525,42444959.9085,1.4115846918376176,0.8469508151025705,86.585114537557,2.0192884826160524
7293,PALMERAS DEL ECUADOR SA,A0125,"A0125.04 - CULTIVOS DE NUECES COMESTIBLES: ALMENDRAS, ANACARDOS, CASTAÑAS, AVELLANAS, PISTACHOS, NUECES DE NOGAL Y OTRAS NUECES.",cultivo_fruticola,False,PICHINCHA,1662,104727369.91,74853975.0,29873394.91,65177434.87,12998544.9,6006048.85,2024,8.023687252413783,5.734937156505929,9.214920565651896,19.943320761128934,57600053.450500004,13443027.7095,4.284753010647657,2.570851806388594,28.524916586440035,0.6223534012742973
120585,UNIVERSAL SWEET INDUSTRIES S.A.,C1030,"C1030.14 - FABRICACIÓN DE PRODUCTOS ALIMENTICIOS A PARTIR DE (UN SOLO COMPONENTE) FRUTAS, LEGUMBRES Y HORTALIZAS; INCLUSO SNACKS DE PLÁTANO (CHIFLES), YUCA, FRUTAS, ETCÉTERA, EXCEPTO PAPA.",procesamiento,False,GUAYAS,398,103777539.03,33622847.01,70154692.02000001,58383035.44,62548.88,-732566.03,2024,-2.1787745391760627,-0.7059003680827601,-1.254758380545073,0.10713536822572582,57077646.46650001,31569611.409000006,1.8079933175936418,1.084795990556185,67.60103648220036,0.5625787235436623
