ranking,ruc_norm,razon_social,ciiu_norm,ROE_pct,ROA_pct,margen_neto_pct,ventas_netas,utilidad_neta,anio
1,723727,ROSTRATISDUO S.A.,G4630,122.6103208891439,11.614086206309688,4.820363362326593,2958803.71,142625.09,2024
2,342197,LA ALEGRIAFARM S.A.S.,G4620,121.0900866469691,5.280288268140742,1.4422307035137083,10856787.31,156579.92,2024
3,136415,CORPORACION BANANDES S.A.,G4630,105.30046290618962,16.149759375984644,1.4785243735406048,27778186.64,410707.26,2024
4,311518,MAZZANCOLLE TROPICALI S.A.,G4630,103.72208893737842,7.6863450935623785,26.45127403003091,1192281.55,315373.66,2024
5,728742,MARTINETTI COCOA COCOAMAR S.A.,G4630,101.63365466843037,17.00822301440372,6.538173048095422,15730654.61,1028497.42,2024
6,336512,QUERENCAO S.A.,A0122,100.27212454488104,52.99202136869749,46.93396472993411,562414.6,263963.47,2024
7,309478,HILLDALE BUSINESS INC S.A.,G4630,100.2432058538034,25.185103314629686,3.1469885698813806,12240586.88,385209.87,2024
8,360771,INTIKAW S.A.S.,G4630,99.97594536189088,79.59421898114874,14.297886619200078,29068648.68,4156202.43,2024
9,751961,MANACHIPSPLANTAIN S.A.S.,C1030,99.96153846153845,41.53998423270702,14.164964677216183,1834808.67,259900.0,2024
10,361393,DACAVI COCOA S.A.S.,A0127,99.92748537338285,96.52756277189731,60.44521008736502,2279803.69,1378032.13,2024
